modèle,facteur,k,NMI,AMI,ARI,pureté
DirVAE,organe,8,0.3735086157899602,0.34984283058974,0.18396559745131766,0.4806763285024155
GVAE,organe,8,0.33503631299436054,0.30839707940896627,0.13302984115480557,0.4468599033816425
