modèle,facteur,MIG,top_dim,top_MI,second_MI
DirVAE,organe,0.012762241167861819,51,0.6836764620557199,0.659905997983652
GVAE,organe,0.01691320343258818,238,0.7756910796414695,0.7441891914346924
